Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Just Go with It,Just Go with It,2011,PG-13,11 Feb 2011,117 min,"Comedy, Romance",Dennis Dugan,"Adam Sandler, Jennifer Aniston, Nicole Kidman, Nick Swardson",USA,5 wins & 13 nominations.,19%,33,6.4,"223,000",tt1564367,2011
True Grit,True Grit,2010,PG-13,22 Dec 2010,110 min,"Drama, Western","Ethan Coen, Joel Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",USA,Nominated for 10 Oscars. Another 37 wins & 159 nominations.,95%,80,7.6,"313,101",tt1403865,2011
Bad Teacher,Bad Teacher,2011,R,24 Jun 2011,92 min,"Comedy, Romance",Jake Kasdan,"Cameron Diaz, Lucy Punch, Jason Segel, Justin Timberlake",USA,6 wins & 4 nominations.,45%,47,5.6,"194,015",tt1284575,2011
Cowboys & Aliens,Cowboys,2013,N/A,10 Oct 2013,107 min,"Comedy, Drama",Tomislav Mrsic,"Sasa Anocic, Zivko Anocic, Matija Antolic, Hrvoje Barisic",Croatia,2 wins & 2 nominations.,60%,N/A,7.0,"1,005",tt2994904,2011
Gnomeo & Juliet,Gnomeo & Juliet,2011,G,11 Feb 2011,84 min,"Animation, Adventure, Comedy, Family, Fantasy, Romance",Kelly Asbury,"James McAvoy, Emily Blunt, Ashley Jensen, Michael Caine","UK, USA, Canada, Ireland",Nominated for 1 Golden Globe. Another 1 win & 11 nominations.,55%,53,5.9,"52,579",tt0377981,2011
The Green Hornet,The Green Hornet,2011,PG-13,14 Jan 2011,119 min,"Action, Comedy, Crime",Michel Gondry,"Seth Rogen, Jay Chou, Cameron Diaz, Tom Wilkinson",USA,4 wins & 7 nominations.,44%,39,5.8,"155,592",tt0990407,2011
Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,2011,G,16 Dec 2011,87 min,"Animation, Adventure, Comedy, Family, Fantasy, Music",Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long",USA,2 wins & 1 nomination.,12%,24,4.3,"31,787",tt1615918,2011
Real Steel,Real Steel,2011,PG-13,07 Oct 2011,127 min,"Action, Drama, Sci-Fi, Sport",Shawn Levy,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie","USA, India",Nominated for 1 Oscar. Another 2 wins & 5 nominations.,60%,56,7.1,"299,504",tt0433035,2011
"Crazy, Stupid, Love.","Crazy, Stupid, Love.",2011,PG-13,29 Jul 2011,118 min,"Comedy, Drama, Romance","Glenn Ficarra, John Requa","Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone",USA,Nominated for 1 Golden Globe. Another 4 wins & 22 nominations.,79%,68,7.4,"477,590",tt1570728,2011
Battle Los Angeles,Battle Los Angeles,2011,PG-13,11 Mar 2011,116 min,"Action, Sci-Fi",Jonathan Liebesman,"Aaron Eckhart, Ramon Rodriguez, Will Rothhaar, Cory Hardrict",USA,1 win & 4 nominations.,36%,37,5.7,"174,839",tt1217613,2011
Immortals,Immortals,2011,R,11 Nov 2011,110 min,"Action, Drama, Fantasy, Romance",Tarsem Singh,"Henry Cavill, Mickey Rourke, Stephen Dorff, Freida Pinto","USA, Canada, UK",1 win & 6 nominations.,46%,46,6.0,"161,386",tt1253864,2011
The Muppets,The Muppets,2011,PG,23 Nov 2011,103 min,"Adventure, Comedy, Family, Musical",James Bobin,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones","USA, UK, France",Won 1 Oscar. Another 16 wins & 43 nominations.,95%,75,7.1,"87,907",tt1204342,2011
Zookeeper,Zookeeper,2011,PG,08 Jul 2011,102 min,"Comedy, Family, Fantasy, Romance",Frank Coraci,"Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong",USA,1 win & 2 nominations.,14%,30,5.2,"57,861",tt1222817,2011
Limitless,Limitless,2011,PG-13,18 Mar 2011,105 min,"Sci-Fi, Thriller",Neil Burger,"Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard","USA, Mexico",2 wins & 8 nominations.,69%,59,7.4,"528,883",tt1219289,2011
Tower Heist,Tower Heist,2011,PG-13,04 Nov 2011,104 min,"Action, Comedy, Crime",Brett Ratner,"Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda",USA,3 nominations.,68%,59,6.2,"135,035",tt0471042,2011
Contagion,Contagion,2011,PG-13,09 Sep 2011,106 min,"Drama, Thriller",Steven Soderbergh,"Gwyneth Paltrow, Tien You Chui, Josie Ho, Daria Strokous","United Arab Emirates, USA, Hong Kong",2 wins & 14 nominations.,85%,70,6.7,"284,749",tt1598778,2011
Moneyball,Moneyball,2011,PG-13,23 Sep 2011,133 min,"Biography, Drama, Sport",Bennett Miller,"Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",USA,Nominated for 6 Oscars. Another 29 wins & 76 nominations.,94%,87,7.6,"373,617",tt1210166,2011
Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,2011,G,11 Feb 2011,105 min,"Documentary, Music",Jon M. Chu,"Justin Bieber, Boyz II Men, Miley Cyrus, Sean Kingston",USA,2 wins & 6 nominations.,65%,52,1.6,"75,075",tt1702443,2011
Dolphin Tale,Dolphin Tale,2011,PG,23 Sep 2011,113 min,"Drama, Family",Charles Martin Smith,"Harry Connick Jr., Ashley Judd, Nathan Gamble, Kris Kristofferson","Canada, USA",4 wins & 4 nominations.,82%,64,6.9,"22,584",tt1564349,2011
Jack and Jill,Jack and Jill,2011,PG,11 Nov 2011,91 min,Comedy,Dennis Dugan,"Adam Sandler, Al Pacino, Katie Holmes, Elodie Tougne",USA,14 wins & 5 nominations.,3%,23,3.3,"78,453",tt0810913,2011
