Rank,Vehicle,2013,2012,% Change,December 2013,December 2012,% Change.1
#122,Hyundai Veloster,30711,34862,-11.9%,3047,1976,54.2%
#123,BMW X3,30623,35173,-12.9%,3707,5162,-28.2%
#124,Volkswagen Tiguan,30002,31731,-5.4%,2464,3310,-25.6%
#125,Mercedes-Benz GL-Class,29912,26042,14.9%,2239,3111,-28.0%
#126,GMC Yukon,28302,27818,1.7%,3597,3942,-8.8%
#127,BMW X1,26512,8947,196%,2741,2806,-2.3%
#128,Ford Flex,25953,28224,-8.0%,2378,2172,9.5%
#129,Jeep Cherokee,25786,—,—,15038,—,—
#130,Mitsubishi Outlander Sport,24951,18091,37.9%,2358,1770,33.2%
#131,Mazda CX-9,24628,24442,0.8%,1539,3353,-54.1%
#132,Acura TL,24318,33572,-27.6%,1795,2246,-20.1%
#133,Lincoln MKX,23913,25107,-4.8%,2547,2617,-2.7%
#134,Volvo S60,23210,23356,-0.6%,1776,2344,-24.2%
#135,Chevrolet Volt,23094,23461,-1.6%,2392,2633,-9.2%
#136,Nissan Leaf,22610,9819,130%,2529,1489,69.8%
#137,Cadillac Escalade,22514,22632,-0.5%,2311,2554,-9.5%
#137.1,Cadillac Escalade *,12592,12615,-0.2%,1470,1371,7.2%
#137.2,Cadillac Escalade ESV *,7950,8083,-1.6%,775,927,-16.4%
#137.3,Cadillac Escalade EXT *,1972,1934,2.0%,66,256,-74.2%
#138,Audi A6,22428,18998,18.1%,2686,1875,43.3%
#139,Toyota Yaris,21342,30590,-30.2%,601,1999,-69.9%
#140,Mini Countryman,21325,21012,1.5%,2055,2224,-7.6%
#141,Acura ILX,20430,12251,66.8%,1573,2485,-36.7%
#142,Volvo XC60,19766,19139,3.3%,1581,1760,-10.2%
#143,Lexus GS,19742,22160,-10.9%,2604,2796,-6.9%
#144,Mitsubishi Lancer,19451,16426,18.4%,1362,1301,4.7%
#145,Scion tC,19094,22666,-15.8%,1143,1383,-17.4%
#146,Buick Regal,18685,24616,-24.1%,1747,1526,14.5%
#147,Audi A5,18664,17270,8.1%,1384,1572,-12.0%
#148,Porsche Cayenne,18507,15545,19.1%,1379,1565,-11.9%
#149,Scion FR-S,18327,11417,60.5%,1029,1495,-31.2%
#150,Scion xB,17849,19787,-9.8%,1288,1391,-7.4%
#151,Infiniti Q50 †,17816,—,—,4568,—,—
#152,Nissan Xterra,17766,17222,3.2%,1588,1379,15.2%
#153,Honda Ridgeline,17723,14068,26.0%,1563,1553,0.6%
#154,Acura TSX,17484,28865,-39.4%,1019,2142,-52.4%
#154.1,Acura TSX Sedan *,15508,24631,-37.0%,911,1728,-47.3%
#154.2,Acura TSX SportWagon *,1976,4234,-53.3%,108,414,-73.9%
#155,Chevrolet Corvette,17291,14132,22.4%,3005,1291,133%
#156,Honda Crosstour,16847,20848,-19.2%,1360,2183,-37.7%
#157,Chevrolet Avalanche,16526,23995,-31.1%,127,2737,-95.4%
#158,Audi Q7,15978,11008,45.1%,2279,1493,52.6%
#159,Land Rover Range Rover Sport,15976,16491,-3.1%,2305,2003,15.1%
#160,Nissan Titan,15691,21576,-27.3%,1284,1838,-30.1%
#161,Volkswagen CC,15672,21646,-27.6%,909,2196,-58.6%
#162,Lexus CT200h,15071,17673,-14.7%,1787,1598,11.8%
#163,Nissan Armada,14383,18072,-20.4%,1463,2134,-31.4%
#164,Mercedes-Benz CLA-Class,14113,—,—,3285,—,—
#165,Mazda 5,13884,14640,-5.2%,1167,2902,-59.8%
#166,Toyota Sequoia,13811,13151,5.0%,1382,1533,-9.8%
#167,Mercedes-Benz S-Class,13303,11794,12.8%,1857,1110,67.3%
#168,Infiniti QX56/QX80,13148,15310,-14.1%,1750,2232,-21.6%
#169,Toyota FJ Cruiser,13131,13656,-3.8%,1305,1511,-13.6%
#170,Nissan Quest,12874,18275,-29.6%,868,1200,-27.7%
#171,Mitsubishi Outlander,12287,7750,58.5%,1289,638,102%
#172,Land Rover Range Rover,12221,7843,55.8%,1340,1034,29.6%
#173,Lexus GX460,12136,11039,9.9%,1830,1407,30.1%
#174,Mazda 2,11757,19315,-39.1%,1228,2967,-58.6%
#175,Land Rover Range Rover Evoque,11405,8901,28.1%,1186,1117,6.2%
#176,Hyundai Azera,11221,8431,33.1%,1092,847,28.9%
#177,BMW 7-Series,10932,11098,-1.5%,1119,1422,-21.3%
#178,Lincoln MKS,10793,12524,-13.8%,1074,1350,-20.4%
#179,Lexus LS,10727,8345,28.5%,1064,1286,-17.3%
#180,Porsche 911,10442,8528,22.4%,828,519,59.5%
#181,BMW 6-Series,9762,8208,18.9%,1078,1037,4.0%
#182,Smart Fortwo,9264,10009,-7.4%,855,996,-14.2%
#183,Scion xD,9005,10756,-16.3%,662,677,-2.2%
#184,Kia Cadenza,8626,—,—,844,—,—
#185,Lincoln Navigator,8613,8371,2.9%,942,1082,-12.9%
#186,Subaru BRZ,8587,4144,107%,705,497,41.9%
#187,Audi A7,8483,8598,-1.3%,944,926,1.9%
#188,Volkswagen Touareg,8233,10553,-22.0%,818,1408,-41.9%
#189,Mercedes-Benz CLS-Class,8032,8065,-0.4%,710,703,1.0%
#190,Jaguar XF,7922,5526,43.4%,805,527,52.8%
#191,Fiat 500L,7402,—,—,1421,—,—
#192,BMW 1-Series,7220,7689,-6.1%,1039,757,37.3%
#193,Land Rover LR4,7093,7316,-3.0%,548,774,-29.2%
#194,Kia Sedona,7079,17512,-59.6%,501,711,-29.5%
#195,Mercedes-Benz SL-Class,7007,4899,43.0%,565,503,12.3%
#196,Volvo XC90,6845,9513,-28.0%,688,873,-21.2%
#197,Nissan 370Z,6561,7338,-10.6%,469,406,15.5%
#198,Infiniti FX/QX70,6380,10424,-38.8%,586,988,-40.7%
#199,Audi A8,6300,6002,5.0%,718,900,-20.2%
#200,Jeep Liberty,6101,75483,-91.9%,—,3508,-100%
#201,Lincoln MKT,6014,7094,-15.2%,598,653,-8.4%
#202,Mazda MX-5 Miata,5780,6305,-8.3%,276,394,-29.9%
#203,BMW X6,5549,6749,-17.8%,722,1039,-30.5%
#204,Nissan Cube,5461,7667,-28.8%,432,589,-26.7%
#205,Jaguar XJ,5434,4852,12.0%,449,389,15.4%
#206,Porsche Panamera,5421,7614,-28.8%,500,483,3.5%
#207,Infiniti M,5283,9130,-42.1%,367,849,-56.8%
#208,Acura RLX/RL ‡,5053,379,1233%,597,18,3217%
#209,Volvo XC70,4882,5513,-11.4%,445,518,-14.1%
#210,Honda Insight,4802,5846,-17.9%,418,310,34.8%
#211,Mercedes-Benz SLK-Class,4757,4595,3.5%,393,445,-11.7%
#212,Lexus LX570,4625,5005,-7.6%,675,494,36.6%
#213,Porsche Boxster,4570,2894,57.9%,262,375,-30.1%
#214,Honda CR-Z,4550,4192,8.5%,384,243,58.0%
#215,Volkswagen Eos,4178,6214,-32.8%,222,372,-40.3%
#216,Scion iQ,4046,8879,-54.4%,201,576,-65.1%
#217,Chevrolet Caprice PPV,3899,3734,4.4%,412,245,68.2%
#218,Hyundai Equus,3578,3972,-9.9%,352,350,0.6%
#219,Chevrolet Colorado,3412,36840,-90.7%,2,1293,-99.8%
#220,Porsche Cayman,3383,462,632%,277,10,2670%
#221,Land Rover LR2,3315,3113,6.5%,385,246,56.5%
#222,Mini Paceman,3262,—,—,650,—,—
#223,Volvo C70,3234,4441,-27.2%,195,208,-6.3%
#224,Toyota Land Cruiser,3082,2895,6.5%,326,316,3.2%
#225,Mitsubishi Mirage,2935,—,—,1388,—,—
#226,Suzuki SX4,2859,12860,-77.8%,—,1051,-100%
#227,Mercedes-Benz G-Class,2494,1330,87.5%,199,168,18.5%
#228,BMW Z4,2480,2751,-9.9%,191,324,-41.0%
#229,Jaguar F-Type,2250,—,—,185,—,—
#230,Infiniti EX/QX50,2164,3495,-38.1%,295,334,-11.7%
#231,Volkswagen Routan,2109,10483,-79.9%,284,560,-49.3%
#232,Audi TT,2053,2226,-7.8%,159,195,-18.5%
#233,Volvo S80,1935,3277,-41.0%,186,207,-10.1%
#234,Suzuki Kizashi,1602,5566,-71.2%,—,362,-100%
#235,Subaru Tribeca,1598,2075,-23.0%,143,189,-24.3%
#236,Mitsubishi Galant,1441,13261,-89.1%,15,299,-95.0%
#237,Volvo C30,1361,2827,-51.9%,17,240,-92.9%
#238,Jaguar XK,1346,1633,-17.6%,105,133,-21.1%
#239,Nissan GT-R,1236,1188,4.0%,78,49,59.2%
#240,Suzuki Grand Vitara,1037,4954,-79.1%,—,338,-100%
#241,Mitsubishi i MiEV,1029,588,75.0%,11,77,-85.7%
#242,GMC Canyon,929,8735,-89.4%,2,315,-99.4%
#243,Audi A3,857,7205,-88.1%,—,397,-100%
#244,Audi R8,813,802,1.4%,70,51,37.3%
#245,Dodge (SRT) Viper ¹,591,20,2855%,55,—,—
#246,Mercedes-Benz CL-Class,476,723,-34.2%,45,71,-36.6%
#247,Mercedes-Benz SLS AMG,451,800,-43.6%,44,38,15.8%
#248,Suzuki Equator,448,1966,-77.2%,—,194,-100%
#249,Chevrolet SS,418,—,—,239,—,—
#250,Acura ZDX,361,775,-53.4%,14,50,-72.0%
#251,Hyundai Veracruz,175,8232,-97.9%,—,58,-100%
#252,Mitsubishi Eclipse,109,1173,-90.7%,—,20,-100%
#252.1,Mitsubishi Eclipse *,40,712,-94.4%,—,8,-100%
#252.2,Mitsubishi Eclipse Spyder *,69,461,-85.0%,—,12,-100%
#253,Dodge Caliber,45,10176,-99.6%,—,31,-100%
#254,Mercedes-Benz R-Class,30,1473,-98.0%,—,9,-100%
#255,Mitsubishi Endeavor,24,501,-95.2%,—,8,-100%
#256,Lexus LFA,23,46,-50.0%,1,6,-83.3%
#257,Mercedes-Benz B-Class,20,29,-31.0%,—,3,-100%
#258,Cadillac DTS,19,465,-95.9%,—,—,—
#259,Honda FCX,10,5,100%,4,—,—
#260,Buick Lucerne,9,971,-99.1%,—,1,-100%
#261,Cadillac STS,7,164,-95.7%,—,4,-100%
#262,Cadillac ELR,6,—,—,6,—,—
#263,Lexus HS250h,5,649,-99.2%,—,2,-100%
#264,Chevrolet HHR,3,21,-85.7%,—,—,—
T265,Honda S2000,2,—,—,—,—,—
T265,Honda Element,2,3,-33.3%,—,—,—
T265,Chevrolet Aveo,2,67,-97.0%,—,3,-100%
T268,Mazda RX-8,1,79,-98.7%,—,—,—
T268,Mazda Tribute,1,501,-99.8%,—,—,—
T268,Mazda CX-7,1,11326,-99.99%,—,—,—
#270,Ford Ranger,—,19366,-100%,—,118,-100%
#271,Ford Crown Victoria,—,4429,-100%,—,546,-100%
#272,Dodge Nitro,—,3269,-100%,—,—,—
#273,Lincoln Town Car,—,1001,-100%,—,52,-100%
#274,Dodge Dakota,—,490,-100%,—,—,—
#275,Volvo S40,—,51,-100%,—,—,—
#276,Chevrolet Cobalt,—,11,-100%,—,—,—
#277,Suzuki XL7,—,10,-100%,—,—,—
#278,Lexus SC430,—,2,-100%,—,—,—
#279,Mercedes-Benz CLK-Class,—,1,-100%,—,—,—
#280,Suzuki Forenza/Reno,—,1,-100%,—,—,—
#281,Ford -Brand ^,2403542,2160859,11.2%,208608,205518,1.5%
#282,Chevrolet -Brand ^,1947125,1851646,5.2%,153493,167091,-8.1%
#283,Toyota -Brand,1893874,1764833,7.3%,151763,158014,-4.0%
#283,Honda -Brand,1359876,1266569,7.4%,119504,116740,2.4%
#284,Nissan -Brand ^,1131965,1021779,10.8%,96526,86663,11.4%
#285,Dodge/Ram -Brand ^,964186,825917,16.7%,83717,83276,0.5%
#286,Hyundai -Brand,720783,703007,2.5%,63005,59435,6.0%
#287,Kia -Brand,535179,557599,-4.0%,33631,39178,-14.2%
#288,Jeep -Brand,490454,474131,3.4%,53275,39871,33.6%
#289,GMC -Brand ^,450901,413881,8.9%,43120,43921,-1.8%
#290,Subaru -Brand,424683,336441,26.2%,40172,36653,9.6%
#291,Volkswagen -Brand,407704,438133,-6.9%,34015,44005,-22.7%
#292,Mercedes-Benz -Brand ^,334344,295013,13.3%,35835,30378,18.0%
#293,BMW -Brand,309280,281460,9.9%,37389,37399,-0.1%
#294,Chrysler -Brand,302492,307967,-1.8%,20270,25513,-20.6%
#295,Mazda -Brand,283947,277044,2.5%,22964,27253,-15.7%
#296,Lexus -Brand,273847,244166,12.2%,34757,30607,13.6%
#297,Buick -Brand,205509,180408,13.9%,15379,16473,-6.6%
#298,Cadillac -Brand,182543,149782,21.9%,18165,18248,-0.5%
#299,Acura -Brand,165436,156216,5.9%,15751,16034,-1.8%
#300,Audi -Brand,158061,139310,13.5%,17013,14841,14.6%
#301,Infiniti -Brand,116455,119877,-2.9%,13232,12627,4.8%
#302,Lincoln -Brand,81694,82150,-0.6%,7984,7384,8.1%
#303,Scion -Brand,68321,73505,-7.1%,4323,5522,-21.7%
#304,Mini -Brand,66502,66123,0.6%,6592,6456,2.1%
#305,Mitsubishi -Brand,62227,57790,7.7%,6423,4113,56.2%
#306,Volvo -Brand,61233,68117,-10.1%,4888,6150,-20.5%
#307,Land Rover -Brand,50010,43664,14.5%,5764,5174,11.4%
#308,Fiat -Brand,43236,43772,-1.2%,3745,3707,1.0%
#309,Porsche -Brand,42323,35043,20.8%,3246,2952,10.0%
#310,Jaguar -Brand,16952,12011,41.1%,1544,1049,47.2%
#311,Suzuki -Brand,5946,25357,-76.6%,—,1945,-100%
#312,Maserati -Brand,4768,2730,74.7%,1053,333,216%
#313,Bentley -Brand,2872,2315,24.1%,350,237,47.7%
—,Overall Market,15582136,14493092,7.5%,1358734,1356132,0.2%
—,—,—,—,—,—,—,—
—,Total Market,15270091,14198812,7.5%,1324984,1327485,-0.2%
—,—,—,—,—,—,—,—
—,Commercial Vans,312045,294280,6.4%,33750,28647,17.8%
—,—,—,—,—,—,—,—
