Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Audi Q5,13790.0,23518.0,24908.0,28671.0,40355.0,42420.0,52006.0,49550.0,57640.0,69978.0,67516.0,50435.0
Audi Q7,7299.0,7976.0,8998.0,11008.0,15978.0,18517.0,18995.0,30563.0,38346.0,37417.0,34649.0,25372.0
Audi Q8,,,,,,,,,0.0,2029.0,14256.0,12072.0
Audi R8,699.0,799.0,1145.0,802.0,813.0,735.0,495.0,736.0,772.0,927.0,574.0,583.0
Audi TT,1935.0,1531.0,2236.0,2226.0,2053.0,1158.0,1167.0,3044.0,2294.0,1289.0,1324.0,832.0
Audi eTron,,,,,,,,,,0.0,5369.0,7202.0
BMW 1-Series,11182.0,13132.0,8832.0,7689.0,7220.0,,,,,,,
BMW 1-Series & 2-Series ³,,,,,7220.0,7345.0,,,,,,
BMW 2-Series,,,,,,7345.0,13020.0,15519.0,11737.0,9208.0,8015.0,13209.0
BMW 3-Series,90960.0,100910.0,94371.0,99602.0,,,94540.0,70458.0,59449.0,44578.0,47827.0,39290.0
BMW 3-Series & 4-Series ³,,,,99602.0,119521.0,142232.0,,,,,,
BMW 3-Series ³,,,,,,100970.0,94527.0,,,,,
BMW 4-Series,,,,,,,46069.0,35763.0,39634.0,31379.0,18621.0,12357.0
BMW 4-Series ³,,,,,,41442.0,46082.0,,,,,
BMW 5-Series,40109.0,39488.0,51491.0,56798.0,56863.0,52704.0,44162.0,32408.0,40658.0,43937.0,38709.0,25515.0
BMW 6-Series,3549.0,2418.0,3903.0,8208.0,9762.0,8647.0,8146.0,3947.0,3355.0,3762.0,1139.0,1960.0
BMW 7-Series,9254.0,12253.0,11299.0,11098.0,10932.0,9744.0,9292.0,12918.0,9276.0,8271.0,8823.0,5985.0
BMW 8-Series,,,,,,,,,0.0,223.0,4410.0,7714.0
BMW X1,,,0.0,8947.0,26512.0,22808.0,14420.0,27812.0,30826.0,29057.0,17815.0,14368.0
BMW X2,,,,,,,,,0.0,16154.0,11293.0,7368.0
BMW X3,6067.0,6075.0,27793.0,35173.0,30623.0,33824.0,31924.0,44196.0,40691.0,61351.0,70110.0,59777.0
BMW X4,,,,,0.0,2709.0,6429.0,4989.0,5198.0,4323.0,8758.0,7662.0
BMW X5,27071.0,35776.0,40547.0,44445.0,39818.0,47031.0,54997.0,47641.0,50815.0,45013.0,54595.0,50513.0
BMW X6,4787.0,6257.0,6192.0,6749.0,5549.0,3896.0,7906.0,7117.0,6780.0,6862.0,4240.0,7291.0
BMW X7,,,,,,,,,,0.0,21574.0,23230.0
BMW Z4,3523.0,3804.0,3479.0,2751.0,2480.0,2151.0,1829.0,1187.0,502.0,4.0,2941.0,2364.0
BMW i3,,,,,0.0,6092.0,11024.0,7625.0,6276.0,6120.0,4853.0,1502.0
BMW i8,,,,,0.0,555.0,2265.0,1594.0,488.0,772.0,1102.0,192.0
Bentley Bentayga,,,,,,,0.0,884.0,1152.0,,,
Bentley Continental GT,,,,,,,1701.0,1144.0,898.0,,,
Bentley Flying Spur,,,,,,,791.0,400.0,257.0,,,
