Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Saab 9-7X,2218,102,,,,,,,,,,
Saturn Astra,6298,25,,,,,,,,,,
Saturn Aura,21395,644,,,,,,,,,,
Saturn Outlook,13115,2649,,,,,,,,,,
Saturn Sky,3399,179,,,,,,,,,,
Saturn Vue,28429,3201,,,,,,,,,,
Scion iQ,,,248,8879,4046,2040,482,6,6,,,
Scion tC,17998,15204,22433,22666,19094,17947,16459,9336,,,,
Scion xB,25461,20364,17017,19787,17849,16583,15223,2677,2677,3,,
Scion xD,14499,10110,9573,10756,9005,7377,794,9,,,,
Smart ForTwo,14595,5927,5208,10009,9264,10453,7484,6211,3071,1276,680,
Subaru Ascent,,,,,,,,,,36211,81958,67623
Subaru BRZ,,,,4144,8587,7504,5296,4141,4131,3834,2334,2267
Subaru Forester,77781,85080,76196,76347,123592,159953,175192,178593,177563,171613,180179,176996
Subaru Impreza/WRX/WRX Sti,46611,44395,41196,81799,76825,83488,100519,88517,117401,105130,88253,64806
Subaru Legacy,30974,38725,42401,47127,42291,52270,60447,65306,49837,40109,35063,27240
Subaru Outback,55356,93148,104405,117553,118049,138790,152294,182898,188886,178854,181178,153290
Subaru Tribeca,5930,2472,2791,2075,1598,732,,,,,,
Subaru XV Crosstrek/Crosstrek,,,,7396,53741,70956,88927,95677,110138,144384,131152,119716
Suzuki Equator,2221,1447,2127,1966,448,,,,,,,
Suzuki Forenza/Reno,3769,12,1,1,,,,,,,,
Suzuki Grand Vitara,7565,4478,4980,4954,1037,,,,,,,
Suzuki Kizashi,71,6138,6942,5566,1602,,,,,,,
Suzuki SX4/Aerio,20708,11606,12519,12860,2859,,,,,,,
Suzuki XL7,4361,313,48,10,,,,,,,,
Tesla Model 3,,,,,,,,,1770,139782,158925,167500
Tesla Model S,,,,,,16698,25202,29421,27060,25745,14100,17500
Tesla Model X,,,,,,,214,18223,21315,26100,19225,25000
Tesla Model Y,,,,,,,,,,,,40001
Toyota 4Runner,19675,46531,44316,48755,51625,76906,97034,111970,128296,139694,131864,129052
Toyota 86/Scion FR-S,,,,11417,18327,14062,10507,7457,6846,4133,3398,2476
Toyota Avalon,26935,28390,28925,29556,70990,67183,60063,48080,32583,33580,27767,18421
Toyota C-HR,,,,,,,,,25755,49642,48930,42936
Toyota Camry,356824,327804,308510,404886,408484,428606,429355,388618,387081,343439,336978,294348
Toyota Corolla/Matrix,296874,266082,240259,290947,302180,339498,363332,378210,329196,303732,304850,237179
Toyota Corolla iM/Auris/Scion iM,,,,,,,5099,17727,20501,19471,,
Toyota FJ Cruiser,11941,14959,13541,13656,13131,14718,229,9,4,1,,
Toyota Highlander,83118,92121,101252,121055,127572,146127,158915,191379,215775,244511,239437,212276
Toyota Land Cruiser,2261,1807,1662,2895,3082,3158,2687,3705,3100,3235,3536,3146
Toyota Mirai,,,,,,,72,1034,1838,1689,1502,499
Toyota Prius,139682,140928,136463,236655,234228,207372,184779,136629,108661,87591,69718,43525
Toyota RAV4,149088,170877,132237,171877,218249,267698,315412,352154,407594,427168,448068,430387
Toyota Sequoia,16387,13848,13022,13151,13811,11806,12583,12771,12156,11121,10289,7364
Toyota Sienna,84064,98337,111429,114725,121117,124502,137497,127791,111489,87672,73585,42885
Toyota Supra,,,,,,,,,,,2884,5887
Toyota Tacoma,111824,106198,110705,141365,159485,155041,179562,191631,198124,245659,248801,238805
Toyota Tundra,79385,93309,82908,101621,112732,118493,118880,115489,116285,118258,111673,109203
Toyota Venza,54410,47321,38904,43095,35846,29991,21351,589,14,9,9,13073
Toyota Yaris Hatchback,63743,40076,32704,30590,21342,13274,16779,10872,8653,1940,2181,5662
Toyota Yaris iA/Scion iA,,,,,,,7605,27983,35727,25115,21916,6437
Volkswagen Arteon,,,,,,,,,,,2449,3602
Volkswagen Atlas,,,,,,,,,27119,59677,81508,76283
Volkswagen Atlas Sport,,,,,,,,,,,,11078
Volkswagen Beetle,14085,16537,6468,29174,43134,29182,22667,15667,15166,14411,17215,4421
Volkswagen CC,23872,27987,29502,21646,15672,9995,6276,3237,1355,455,58,17
Volkswagen Eos,7204,6690,7533,6214,4178,3411,2993,387,1,,,
Volkswagen Golf/GTI/R/SportWagen Alltrack,15752,28286,34706,40885,30931,33675,65308,61687,68978,42271,37393,21927
Volkswagen Jetta,108427,123213,177360,170424,163793,160873,131109,121107,115807,90794,100453,82652
Volkswagen Passat,11138,12497,22835,117023,109652,96649,78207,73002,60722,41401,14123,22964
Volkswagen Routan,14681,15961,12473,10483,2109,1103,,,,,,
Volkswagen Tiguan,13903,20946,25990,31731,30002,25121,35843,43638,46983,103022,109963,100687
Volkswagen Touareg,4392,4713,7535,10553,8233,6961,7037,4223,3545,2022,160,3
Volvo C30,4266,3906,3471,2827,1361,66,,,,,,
Volvo C70,5170,4368,4933,4441,3234,779,7,,,,,
Volvo S40,7956,5623,2984,51,,,,,,,,
Volvo S60/V60,5895,1437,21282,23356,23210,25447,24128,20913,16825,11876,20190,16828
Volvo S80,8331,7224,4735,3277,1935,1753,1887,644,7,,,
Volvo S90/V90,,,,,,,,2756,11090,9662,4052,3194
Volvo V50,2155,1720,555,,,,,,,,,
Volvo V70,1816,895,,,,,,,,,,
Volvo XC40,,,,,,,,,,12420,17647,23778
Volvo XC60,9262,12030,12932,19139,19766,19276,26134,20452,22516,32689,30578,32078
Volvo XC70,5825,6626,5716,5513,4882,5093,5118,5425,,,,
Volvo XC90,10757,10119,10609,9513,6845,3952,12777,32526,30996,31609,35760,34251
