Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dodge Caliber,36098,45082,35049,10176,45,,,,,,,
Dodge Challenger,25852,36791,39534,43119,51462,51611,66365,64433,64537,66716,60997,52955
Dodge Charger,60651,75397,70089,82592,98336,94099,94725,95437,88351,80226,96936,77426
Dodge Dakota,10690,13047,12156,490,,,,,,,,
Dodge Dart,,,,25303,83388,83858,87392,43402,10082,389,16,5
Dodge Durango,3521,572,51697,42589,60727,64398,64186,68474,68761,65947,67598,57828
Dodge Grand Caravan,90666,103323,110862,141468,124019,134152,97141,127678,125196,151927,122648,38765
Dodge Journey,53826,48577,55155,79563,83933,93572,105400,106759,89470,94096,74687,40341
Dodge Nitro,17443,22618,24434,3269,,,,,,,,
Dodge Ram,177268,199652,244763,293363,355673,,,,,,,
Dodge Viper,482,392,197,20,591,760,676,630,585,19,0,6
Fiat 124 Spider,,,,,,,,2475,4478,3515,2646,1711
Fiat 500,,,19769,43772,35834,33708,25084,15437,12685,5370,3267,674
Fiat 500L,,,,,7402,12413,7863,3118,1664,1413,772,475
Fiat 500X,,,,,,,9463,11712,7665,5223,2519,1444
Ford Bronco Sport,,,,,,,,,,,,5120
Ford C-Max,,,,13309,35210,27595,21768,19834,18390,6683,,
Ford Crown Victoria,33255,33722,46725,4429,,,,,,,,
Ford E-Series,,,,,125356,103263,50788,54245,53304,47936,45063,37001
Ford EcoSport,,,,,,,,,,54348,60599,60544
Ford Edge,88548,118637,121702,127969,129109,108864,124120,134588,142603,134122,138514,108886
Ford Escape,173044,191026,254293,261008,295993,306212,306492,307069,308296,272228,241387,178495
Ford Expedition,31655,37336,40499,38062,38350,44632,41443,59835,51883,54661,86423,77838
Ford Explorer,52190,60687,135704,164207,192397,209994,249251,248507,271131,261571,187061,226215
Ford Explorer Police Interceptor ,,,,5863,14086,20655,24942,31815,33075,33839,18752,
Ford F-Series,413625,528349,584917,645316,763402,753851,780354,820799,896764,909330,896526,787372
Ford Fiesta,,23273,68574,56775,71073,63192,64458,48807,46249,51730,60148,3354
Ford Flex,38717,34227,27428,28224,25953,23822,19570,22668,22389,20308,24485,4849
Ford Focus,160433,172421,175717,245922,234570,219634,202478,168789,158385,114045,12480,
Ford Fusion,180671,219219,248067,241263,295280,306860,300170,265840,209623,173600,166045,110665
Ford GT,,,,,,,,,89,126,698,125
Ford Mustang,66623,73716,70438,82995,77186,82635,122349,105932,81866,75842,72489,61090
Ford Ranger,55600,55364,70832,19366,,,,,,,89571,101485
Ford Taurus,45617,68859,63526,74375,79960,62629,48816,44098,41236,40341,13423,
Ford Taurus Police Interceptor,,,,8309,10897,10234,9765,9472,,,,
Ford Taurus X,6106,12,,,,,,,,,,
Ford Transit,,,,,,20448,117577,143244,127360,137794,153867,131557
Ford Transit Connect,,,,,39703,43210,52221,43232,34473,31923,41597,34596
