Rank,Vehicle,Dec. 2014 YTD,Dec. 2013 YTD,% Change,Dec. 2014,Dec. 2013,% Change.1
#123.2,Cadillac Escalade ESV *,10987,7950,38.2%,1459,775,88.3%
#123.3,Cadillac Escalade EXT *,53,1972,-97.3%,—,66,-100%
#124,Nissan Leaf,30200,22610,33.6%,3102,2529,22.7%
#125,Hyundai Genesis ³,29992,32330,-7.2%,2923,3280,-10.9%
#126,Toyota Venza,29991,35846,-16.3%,2419,2148,12.6%
#127,Cadillac ATS,29890,38319,-22.0%,2465,3887,-36.6%
#128,GMC Yukon XL,29752,31258,-4.8%,3260,3158,3.2%
#129,Volkswagen Beetle,29182,43134,-32.3%,2270,2819,-19.5%
#129.1,Volkswagen Beetle Coupe *,17414,25084,-30.6%,1600,1856,-13.8%
#129.2,Volkswagen Beetle Convertible *,11768,18050,-34.8%,670,963,-30.4%
#130,Hyundai Veloster,27598,30711,-10.1%,1685,3047,-44.7%
#131,Ford C-Max,27595,35210,-21.6%,1962,2028,-3.3%
#132,Mercedes-Benz CLA-Class,27365,14113,93.9%,2664,3285,-18.9%
#133,GMC Savana,26641,16705,59.5%,1725,2588,-33.3%
#134,Mercedes-Benz GL-Class,26597,29912,-11.1%,3394,2239,51.6%
#135,Mercedes-Benz Sprinter,25745,21816,18.0%,3288,2828,16.3%
#136,Mercedes-Benz S-Class,25276,13303,90.0%,2832,1857,52.5%
#137,Volkswagen Tiguan,25121,30002,-16.3%,2116,2464,-14.1%
#138,Cadillac XTS,24335,32559,-25.3%,2276,2670,-14.8%
#139,Lincoln MKX,23995,23913,0.3%,1669,2547,-34.5%
#140,Audi A6,23941,22428,6.7%,2945,2686,9.6%
#141,Ford Flex,23822,25953,-8.2%,1786,2378,-24.9%
#142,BMW X1,22808,26512,-14.0%,2591,2741,-5.5%
#143,Lexus GX460,22685,12136,86.9%,2707,1830,47.9%
#144,Mini Countryman,22645,21325,6.2%,1941,2055,-5.5%
#145,Buick Regal,22560,18685,20.7%,1811,1747,3.7%
#146,Audi A3,22250,857,"2,496%",2690,—,—
#147,Lexus GS,22198,19742,12.4%,2745,2604,5.4%
#148,Volvo S60,20457,23210,-11.9%,1866,1776,5.1%
#149,Ford Transit,20448,—,—,10030,—,—
#150,Volvo XC60,19276,19766,-2.5%,2079,1581,31.5%
#151,Acura TLX,19127,—,—-,3834,—,—
#152,Chevrolet Volt,18805,23094,-18.6%,1490,2392,-37.7%
#153,Audi Q7,18517,15978,15.9%,1928,2279,-15.4%
#154,Mazda CX-9,18496,24628,-24.9%,1749,1539,13.6%
#155,Ram ProMaster,18039,3270,452%,3036,1872,62.2%
#156,Scion tC,17947,19094,-6.0%,1128,1143,-1.3%
#157,Land Rover Range Rover Sport,17897,15976,12.0%,2036,2305,-11.7%
#158,Acura ILX,17854,20430,-12.6%,1730,1573,10.0%
#159,Lexus CT200h,17673,15071,17.3%,1608,1787,-10.0%
#160,Mitsubishi Mirage,16708,2935,469%,1135,1388,-18.2%
#161,Audi A5,16620,18664,-11.0%,1292,1384,-6.6%
#162,Scion xB,16583,17849,-7.1%,1480,1288,14.9%
#163,Nissan Xterra,16505,17766,-7.1%,1137,1588,-28.4%
#164,Mitsubishi Lancer,16495,19451,-15.2%,1547,1362,13.6%
#165,Porsche Cayenne,16205,18507,-12.4%,934,1379,-32.3%
#166,Infiniti Q40/G Sedan,15590,30256,-48.5%,1184,1460,-18.9%
#167,Nissan NV,14890,12589,18.3%,1554,1512,2.8%
#168,Toyota FJ Cruiser,14718,13131,12.1%,402,1305,-69.2%
#169,Kia Sedona,14567,7079,106%,2997,501,498%
#170,Scion FR-S,14062,18327,-23.3%,834,1029,-19.0%
#171,Mazda 2,13615,11757,15.8%,159,1228,-87.1%
#172,Honda Ridgeline,13389,17723,-24.5%,481,1563,-69.2%
#173,Nissan NV200,13385,4619,190%,1532,793,93.2%
#174,Toyota Yaris,13274,21342,-37.8%,1605,601,167%
#175,Lincoln MKC,13077,—,—,2310,—,—
#176,Mitsubishi Outlander,13068,12287,6.4%,1096,1289,-15.0%
#177,Infiniti QX80/QX56,12935,13148,-1.6%,1615,1750,-7.7%
#178,Land Rover Range Rover,12830,12221,5.0%,1482,1340,10.6%
#179,Nissan Armada,12593,14383,-12.4%,1361,1463,-7.0%
#180,Nissan Titan,12527,15691,-20.2%,869,1284,-32.3%
#181,Land Rover Range Rover Evoque,12440,11405,9.1%,1426,1186,20.2%
#182,Fiat 500L,12413,7402,67.7%,1482,1421,4.3%
#183,Toyota Sequoia,11806,13811,-14.5%,1261,1382,-8.8%
#184,Honda Crosstour,11802,16847,-29.9%,863,1360,-36.5%
#185,Mazda 5,11613,13884,-16.4%,759,1167,-35.0%
#186,Ram Cargo Van,11311,8900,27.1%,1370,751,82.4%
#187,Acura TL,10616,24318,-56.3%,76,1795,-95.8%
#188,Smart Fortwo,10453,9264,12.8%,973,855,13.8%
#189,Lincoln Navigator,10433,8613,21.1%,1792,942,90.2%
#190,Porsche 911,10433,10442,-0.1%,776,828,-6.3%
#191,Volkswagen CC,9995,15672,-36.2%,623,909,-31.5%
#192,Nissan Quest,9833,12874,-23.6%,685,868,-21.1%
#193,BMW 7-Series,9744,10932,-10.9%,1096,1119,-2.1%
#194,Kia Cadenza,9267,8626,7.4%,548,844,-35.1%
#195,BMW 6-Series,8647,9762,-11.4%,624,1078,-42.1%
#196,Lexus LS,8559,10727,-20.2%,1020,1064,-4.1%
#197,Lincoln MKS,8160,10793,-24.4%,927,1074,-13.7%
#198,Audi A7,8133,8483,-4.1%,524,944,-44.5%
#199,Chevrolet Colorado,8003,3412,135%,4037,2,"201,750%"
#200,Infiniti Q60,7740,9806,-21.1%,658,462,42.4%
#201,Subaru BRZ,7504,8587,-12.6%,416,705,-41.0%
#202,Scion xD,7377,9005,-18.1%,288,662,-56.5%
#203,BMW 1-Series & 2-Series ³,7345,7220,1.7%,724,1039,-30.3%
#204,Porsche Macan,7241,—,—,864,—,—
#205,Hyundai Azera,7232,11221,-35.5%,697,1092,-36.2%
#206,Nissan 370Z,7199,6561,9.7%,446,469,-4.9%
#207,Mercedes-Benz CLS-Class,6981,8032,-13.1%,575,710,-19.0%
#208,Volkswagen Touareg,6961,8233,-15.5%,605,818,-26.0%
#209,Mercedes-Benz GLA-Class,6884,—,—,2074,—,—
#210,Acura TSX,6287,17484,-64.0%,17,1019,-98.3%
#210.1,Acura TSX Sedan *,5647,15508,-63.6%,14,911,-98.5%
#210.2,Acura TSX SportWagon *,640,1976,-67.6%,3,108,-97.2%
#211,BMW i3,6092,—,—,1013,—,—
#212,Audi A8,5904,6300,-6.3%,732,718,2.0%
#213,Jaguar XF,5880,7922,-25.8%,772,805,-4.1%
#214,Porsche Panamera,5740,5421,5.9%,320,500,-36.0%
#215,Infiniti QX70/FX,5213,6380,-18.3%,448,586,-23.5%
#216,Volvo XC70,5093,4882,4.3%,470,445,5.6%
#217,Infiniti Q70/M,5034,5283,-4.7%,656,367,78.7%
#218,Mercedes-Benz SL-Class,5030,7007,-28.2%,539,565,-4.6%
#219,Volvo V60,4990,—,—,357,—,—
#220,Lincoln MKT,4800,6014,-20.2%,356,598,-40.5%
#221,Mazda MX-5 Miata,4745,5780,-17.9%,378,276,37.0%
#222,Mercedes-Benz SLK-Class,4737,4757,-0.4%,384,393,-2.3%
#223,Land Rover LR4,4679,7093,-34.0%,736,548,34.3%
#224,Jaguar XJ,4329,5434,-20.3%,375,449,-16.5%
#225,Jaguar F-Type,4112,2250,82.8%,448,185,142%
#226,Lexus LX570,4052,4625,-12.4%,505,675,-25.2%
#227,Honda Insight,3965,4802,-17.4%,311,418,-25.6%
#228,Volvo XC90,3952,6845,-42.3%,68,688,-90.1%
#229,BMW X6,3896,5549,-29.8%,458,722,-36.6%
#230,Porsche Boxster,3875,4570,-15.2%,144,262,-45.0%
#231,Nissan Cube,3785,5461,-30.7%,186,432,-56.9%
#232,Chevrolet Caprice PPV,3727,3899,-4.4%,288,412,-30.1%
#233,Audi Q3,3654,—,—,901,—,—
#234,Land Rover LR2,3619,3315,9.2%,74,385,-80.8%
#235,Honda CR-Z,3562,4550,-21.7%,224,384,-41.7%
#236,Porsche Cayman,3417,3383,1.0%,198,277,-28.5%
#237,Hyundai Equus,3415,3578,-4.6%,343,352,-2.6%
#238,Acura RLX/RL ³,3413,5053,-32.5%,233,597,-61.0%
#239,Volkswagen Eos,3411,4178,-18.4%,204,222,-8.1%
#240,Toyota Land Cruiser,3158,3082,2.5%,365,326,12.0%
#241,Mercedes-Benz G-Class,3090,2494,23.9%,375,199,88.4%
#242,GMC Canyon,3070,929,230%,1533,2,"76,550%"
#243,Lexus NX,2927,—,—,2905,—,—
#244,Infiniti QX50/EX,2727,2164,26.0%,224,295,-24.1%
#245,BMW X4,2709,—,—,820,—,—
#246,Chevrolet SS,2479,418,493%,93,239,-61.1%
#247,BMW Z4,2151,2480,-13.3%,168,191,-12.0%
#248,Mini Paceman,2082,3262,-36.2%,129,650,-80.2%
#249,Scion iQ,2040,4046,-49.6%,87,201,-56.7%
#250,Lexus RC,1922,—,—,1042,—,—
#251,Volvo S80,1753,1935,-9.4%,79,186,-57.5%
#252,Jaguar XK,1452,1346,7.9%,88,105,-16.2%
#253,Nissan GT-R,1436,1236,16.2%,156,78,100%
#254,Kia K900,1330,—,—,93,—,—
