Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Dodge Journey,4047,5383,-24.82,74687,94096,-20.63
Kia K900,32,55,-41.82,392,354,10.73
Nissan Kicks,4123,5704,-27.72,58193,23312,149.63
Hyundai Kona,6678,8319,-19.73,73326,47090,55.71
Buick LaCrosse,153,715,-78.6,7241,15527,-53.37
Toyota Land Cruiser,360,179,101.12,3536,3235,9.3
Lexus LC,114,152,-25.0,1219,1979,-38.4
Nissan Leaf,1227,1667,-26.39,12365,14715,-15.97
Subaru Legacy,3415,3374,1.22,35063,40109,-12.58
Lexus LS,583,893,-34.71,5528,9301,-40.57
Lexus LX,562,212,165.09,4718,4753,-0.74
Porsche Macan,1675,1345,24.54,22667,22954,-1.25
Chevrolet Malibu,11299,12522,-9.77,120302,144542,-16.77
Nissan Maxima,3387,5600,-39.52,35076,42337,-17.15
Acura MDX,5636,5948,-5.25,52019,51512,0.98
Mercedes-Benz Metris,1247,978,27.51,11718,7800,50.23
Mitsubishi Mirage,1753,1748,0.29,26966,24316,10.9
Toyota Mirai,66,232,-71.55,1502,1689,-11.07
Lincoln MKC,2486,2774,-10.38,25816,26241,-1.62
Lincoln MKT,91,271,-66.42,3388,2324,45.78
Lincoln MKX/Nautilus,2544,3364,-24.38,31610,28573,10.63
Lincoln MKZ,1343,1874,-28.34,17726,19852,-10.71
Tesla Model 3,15566,25250,-38.35,161100,140317,14.81
Tesla Model S,1235,3250,-62.0,14425,29950,-51.84
Tesla Model X,1811,4100,-55.83,19600,27250,-28.07
Nissan Murano,5187,8033,-35.43,68361,83547,-18.18
Ford Mustang,5638,4392,28.37,72489,75842,-4.42
Mazda MX-5 Miata,439,511,-14.09,7753,8971,-13.58
Lincoln Navigator,1797,2073,-13.31,18656,17839,4.58
Hyundai Nexo,15,8,87.5,267,8,3237.5
Kia Niro,2238,2006,11.57,24421,28232,-13.5
Acura NSX,10,17,-41.18,238,170,40.0
Nissan NV,1719,2013,-14.61,20022,16902,18.46
Nissan NV200,1462,1691,-13.54,18768,18628,0.75
Lexus NX,7955,8764,-9.23,58715,62079,-5.42
Honda Odyssey,8734,10512,-16.91,99113,106327,-6.78
Kia Optima,6568,7809,-15.89,96050,101603,-5.47
Subaru Outback,16661,15851,5.11,181178,178854,1.3
Mitsubishi Outlander,3977,2647,50.25,37965,37952,0.03
Mitsubishi Outlander PHEV,269,431,-37.59,2810,3866,-27.32
Mitsubishi Outlander Sport,2496,2563,-2.61,26144,36867,-29.09
Chrysler Pacifica,9049,8936,1.26,97706,118322,-17.42
Hyundai Palisade,5654,0,0.0,28736,0,0.0
Porsche Panamera,592,332,78.31,6625,8114,-18.35
Volkswagen Passat,714,3116,-77.09,14123,41401,-65.89
Honda Passport,3677,0,0.0,36285,0,0.0
Nissan Pathfinder,5894,6799,-13.31,65691,67550,-2.75
Jeep Patriot,2,9,-77.78,27,621,-95.65
Ram Pickup,56825,60155,-5.54,633694,536980,18.01
Honda Pilot,11250,15698,-28.33,135008,159615,-15.42
Toyota Prius Family,6058,6351,-4.61,69718,87590,-20.4
