Year,Vehicle Original,Vehicle,Sales,% Change,Change,Car,Stars,Highest Star,Strong Appearance,Weak Appearance,Total Appearance,Release,Rank,Best Rank,Gross,Distributor
2015,volvo xc60,volvo xc60,26134,0.35577920700000004,Positive,2014 volvo xc60,3.0,3.0,1.0,0.0,1.0,The Gift,66.0,66.0,"$43,787,265 ",STX Entertainment
2015,volvo xc70,volvo xc70,5118,0.0049086979999999995,Positive,volvo xc70,1.0,1.0,0.0,1.0,1.0,The Intern,38.0,38.0,"$75,574,886 ",Warner Bros.
2015,volvo xc90,volvo xc90,12777,2.233046559,Positive,2008 volvo xc90,2.0,2.0,0.0,3.0,3.0,The Martian,9.0,9.0,"$225,345,353 ",Twentieth Century Fox
2016,acura ilx,,14597,-0.212292915,Negative,,,,,,,,,,,
2016,acura mdx,,55495,-0.046608714,Negative,,,,,,,,,,,
2016,acura rdx,,52361,0.026163132999999998,Positive,,,,,,,,,,,
2016,acura rlx,,1478,-0.326651481,Negative,,,,,,,,,,,
2016,acura tlx,,37156,-0.21079014399999998,Negative,,,,,,,,,,,
2016,acura tsx,acura tsx,4,-0.8857142859999999,Negative,2008 acura tsx,1.0,1.0,0.0,1.0,1.0,La La Land,87.0,87.0,"$30,980,271 ",Lionsgate
2016,alfa romeo 4c,alfa romeo 4c,480,-0.27601809999999993,Negative,2015 alfa romeo 4c,2.0,2.0,0.0,2.0,2.0,Batman v Superman: Dawn of Justice,8.0,8.0,"$330,360,194 ",Warner Bros.
2016,audi a3,audi a3,31538,-0.123554913,Negative,2009 audi a3,1.0,1.0,0.0,2.0,2.0,My Big Fat Greek Wedding 2,54.0,54.0,"$59,689,605 ",Universal Pictures
2016,audi a4,audi a4,36987,0.161980459,Positive,2001 audi a4 b6,2.0,2.0,0.0,8.0,8.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,audi a4 allroad,,2300,-0.183818311,Negative,,,,,,,,,,,
2016,audi a4 sedan,,34867,0.20177162,Positive,,,,,,,,,,,
2016,audi a5,,8354,-0.354105458,Negative,,,,,,,,,,,
2016,audi a6,audi a6,18686,-0.182231947,Negative,1997 audi a6 c5,2.0,2.0,0.0,3.0,3.0,13 Hours,62.0,62.0,"$52,853,219 ",Paramount Pictures
2016,audi a7,audi a7,6558,-0.15062815699999998,Negative,2015 audi a7 sportback c7,1.0,1.0,0.0,1.0,1.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,audi a8,audi a8,4149,-0.16853707399999998,Negative,2016 audi a8 l d4,2.0,2.0,0.0,3.0,3.0,Office Christmas Party,63.0,63.0,"$49,815,176 ",Paramount Pictures
2016,audi q3,,20048,0.515458462,Positive,,,,,,,,,,,
2016,audi q5,audi q5,49550,-0.04722532,Negative,2009 audi q5,2.0,2.0,0.0,3.0,3.0,Dirty Grandpa,81.0,81.0,"$35,593,113 ",Lionsgate
2016,audi q7,audi q7,30563,0.6090023689999999,Positive,2006 audi q7,2.0,2.0,0.0,2.0,2.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,audi r8,audi r8,736,0.486868687,Positive,2015 audi r8,2.0,2.0,0.0,1.0,1.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,audi tt,audi tt,3044,1.6083976009999998,Positive,2013 audi tt,1.0,1.0,0.0,2.0,2.0,The Boss,50.0,50.0,"$63,285,885 ",Universal Pictures
2016,bmw 2-series,,15519,0.191935484,Positive,,,,,,,,,,,
2016,bmw 3-series,bmw 3,70458,-0.254728157,Negative,2007 bmw 335i [e92],3.0,3.0,2.0,21.0,23.0,Ride Along 2,32.0,32.0,"$91,221,830 ",Universal Pictures
2016,bmw 4-series,bmw 4,35763,-0.223707916,Negative,2014 bmw 4 [f33],1.0,1.0,0.0,2.0,2.0,The Girl on the Train,41.0,41.0,"$75,395,035 ",Universal Pictures
2016,bmw 5-series,bmw 5,32408,-0.266156424,Negative,1996 bmw 5 [e39],2.0,2.0,0.0,14.0,14.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,bmw 6-series,,3947,-0.515467714,Negative,,,,,,,,,,,
2016,bmw 7-series,bmw 7,12918,0.39022815299999997,Positive,2006 bmw 750li [e66],2.0,2.0,0.0,4.0,4.0,Now You See Me 2,47.0,47.0,"$65,075,540 ",Lionsgate
2016,bmw x1,bmw x1,27812,0.928710125,Positive,2013 bmw x1 [e84],1.0,1.0,0.0,2.0,2.0,Jason Bourne,15.0,15.0,"$162,434,410 ",Universal Pictures
2016,bmw x3,bmw x3,44196,0.38441298100000004,Positive,2015 bmw x3 [f25],1.0,1.0,0.0,1.0,1.0,Ghostbusters,21.0,21.0,"$128,350,574 ",Sony Pictures Entertainment (SPE)
2016,bmw x4,,4989,-0.223985068,Negative,,,,,,,,,,,
2016,bmw x5,bmw x5,47641,-0.13375275,Negative,2000 bmw x5 [e53],3.0,3.0,1.0,3.0,4.0,London Has Fallen,51.0,51.0,"$62,524,260 ",Focus Features
2016,bmw x6,bmw x6,7117,-0.09979762199999999,Negative,2008 bmw x6 [e71],2.0,2.0,0.0,2.0,2.0,Captain America: Civil War,3.0,3.0,"$408,084,349 ",Walt Disney Studios Motion Pictures
2016,bmw z4,,1187,-0.35101148200000004,Negative,,,,,,,,,,,
2016,bmw i3,,7625,-0.30832728600000003,Negative,,,,,,,,,,,
2016,bmw i8,bmw i8,1594,-0.296247241,Negative,2015 bmw i8 [i12],2.0,2.0,0.0,1.0,1.0,Alvin and the Chipmunks: The Road Chip,90.0,90.0,"$30,311,560 ",Twentieth Century Fox
