Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Honda Insight,2235,0,0.0,12513,3,417000.0
Hyundai Ioniq,1275,908,40.42,15076,11197,34.64
Lexus IS,2193,2777,-21.03,22927,26482,-13.42
Volkswagen Jetta,10261,7233,41.86,90794,115807,-21.6
Dodge Journey,5383,4227,27.35,94096,89470,5.17
Nissan Juke,5,245,-97.96,731,10157,-92.8
Kia K900,55,35,57.14,354,455,-22.2
Nissan Kicks,5704,0,0.0,23312,0,0.0
Hyundai Kona,8319,0,0.0,47090,0,0.0
Buick LaCrosse,715,1385,-48.38,15527,20161,-22.98
Toyota Land Cruiser,179,390,-54.1,3235,3100,4.35
Lexus LC,152,290,-47.59,1979,1731,14.33
Nissan Leaf,1667,102,1534.31,14715,11230,31.03
Subaru Legacy,3374,4593,-26.54,40109,49837,-19.52
Lexus LS,893,306,191.83,9301,4094,127.19
Lexus LX,212,744,-71.51,4753,6004,-20.84
Porsche Macan,1345,1444,-6.86,22954,21429,7.12
Chevrolet Malibu,12522,16628,-24.69,144542,185857,-22.23
Nissan Maxima,5600,5016,11.64,42337,67627,-37.4
Acura MDX,5948,6076,-2.11,51512,54886,-6.15
Mercedes-Benz Metris,978,984,-0.61,7800,7579,2.92
Mitsubishi Mirage,1748,1023,70.87,24316,22386,8.62
Toyota Mirai,232,296,-21.62,1689,1838,-8.11
Lincoln MKC,2774,2504,10.78,26241,27048,-2.98
Lincoln MKT,271,186,45.7,2324,3005,-22.66
Lincoln MKX/Nautilus,3364,2976,13.04,28573,31031,-7.92
Lincoln MKZ,1874,2293,-18.27,19852,27387,-27.51
Tesla Model 3,25250,1060,2282.08,140317,1667,8317.34
Tesla Model S,3250,2400,35.42,29950,26800,11.75
Tesla Model X,4100,2000,105.0,27250,21600,26.16
Nissan Murano,8033,9718,-17.34,83547,76732,8.88
Ford Mustang,4392,7714,-43.06,75842,81866,-7.36
Mazda MX-5 Miata,511,493,3.65,8971,11294,-20.57
Lincoln Navigator,2073,1444,43.56,17839,10523,69.52
Hyundai Nexo,8,0,0.0,8,0,0.0
Kia Niro,2006,2397,-16.31,28232,27237,3.65
Acura NSX,17,56,-69.64,170,581,-70.74
Nissan NV,2013,1638,22.89,16902,17858,-5.35
Nissan NV200,1691,1574,7.43,18628,18602,0.14
Lexus NX,8764,7410,18.27,62079,59341,4.61
Honda Odyssey,10512,9874,6.46,106327,100307,6.0
Kia Optima,7809,7081,10.28,101603,107493,-5.48
Subaru Outback,15851,18248,-13.14,178854,188886,-5.31
Mitsubishi Outlander,2647,3117,-15.08,37952,35409,7.18
Mitsubishi Outlander PHEV,431,0,0.0,3866,0,0.0
