Vehicle,2020 Year End,2019 Year End,% Change 2020
Toyota Land Cruiser,3146,3536,-11.03
Toyota Mirai,499,1502,-66.78
Toyota Prius Family,43525,69718,-37.57
Toyota RAV4,430387,448068,-3.95
Toyota Sequoia,7364,10289,-28.43
Toyota Sienna,42885,73585,-41.72
Toyota Supra,5887,2884,104.13
Toyota Tacoma,238805,248801,-4.02
Toyota Tundra,109203,111673,-2.21
Toyota Venza,13073,0,0.0
Toyota Yaris,6436,21916,-70.63
Volkswagen Arteon,3602,2449,47.08
Volkswagen Atlas,76283,81508,-6.41
Volkswagen Atlas Sport,11078,0,0.0
Volkswagen Beetle,4421,17215,-74.32
Volkswagen CC,17,58,-70.69
Volkswagen Golf,21927,37393,-41.36
Volkswagen Jetta,82652,100453,-17.72
Volkswagen Passat,22964,14123,62.6
Volkswagen Tiguan,100687,109963,-8.44
Volkswagen Touareg,3,160,-98.12
Volvo 40 Series,1099,0,0.0
Volvo 60-Series,15729,20190,-22.1
Volvo 90-Series,3195,4052,-21.15
Volvo XC40,23778,17647,34.74
Volvo XC60,32078,30578,4.91
Volvo XC90,34251,35760,-4.22
