Rank,Vehicle,2016,2015,% Change,Dec. 2016,Dec. 2015,% Change.1
#167,Nissan NV,17873,16958,5.4%,1937,1924,0.7%
#168,Infiniti QX50,16973,5468,210%,2026,1453,39.4%
#169,Infiniti QX80,16772,15646,7.2%,2026,2171,-6.7%
#170,Land Rover Range Rover,16155,17821,-9.3%,2165,1835,18.0%
#171,Mazda CX-9,16051,18048,-11.1%,2594,1202,116%
#172,Ram ProMaster City,15972,11053,44.5%,1347,3038,-55.7%
#173,Cadillac CTS,15911,19485,-18.3%,1697,2441,-30.5%
#174,Volkswagen Beetle,15667,22667,-30.9%,1596,1311,21.7%
#174.1,Volkswagen Beetle Coupe *,9830,13025,-24.5%,1092,958,14.0%
#174.2,Volkswagen Beetle Convertible *,5837,9642,-39.5%,504,353,42.8%
#175,BMW 2-Series,15519,13020,19.2%,1085,2143,-49.4%
#176,Fiat 500,15437,23980,-35.6%,1411,1737,-18.8%
#177,Porsche Cayenne,15383,16473,-6.6%,1099,1229,-10.6%
#178,Lexus GS,14878,23117,-35.6%,1325,3423,-61.3%
#179,Toyota Prius V,14840,28290,-47.5%,1373,2040,-32.7%
#180,Volvo S60,14789,16993,-13.0%,2093,1590,31.6%
#180.1,Volvo S60 *,14218,16706,-14.9%,2051,1486,38.0%
#180.2,Volvo S60 CC *,571,287,99.0%,42,104,-59.6%
#181,Acura ILX,14597,18531,-21.2%,1079,1960,-44.9%
#182,Mitsubishi Lancer,14304,17691,-19.1%,860,1324,-35.0%
#183,Land Rover Discovery Sport,14243,7611,87.1%,1659,1674,-0.9%
#184,Buick Envision,14193,—,—,3931,—,—
#185,Nissan Armada,14035,12737,10.2%,2474,1156,114%
#186,Nissan Leaf,14006,17269,-18.9%,1899,1347,41.0%
#187,BMW 7-Series,12918,9292,39.0%,1313,1266,3.7%
#188,Toyota Sequoia,12771,12583,1.5%,1575,1007,56.4%
#189,Mini Countryman,12706,16686,-23.9%,853,2148,-60.3%
#190,Fiat 500X,11712,11357,3.1%,843,3572,-76.4%
#191,Lexus RC,11165,14784,-24.5%,1042,1711,-39.1%
#192,Nissan Quest,11115,11018,0.9%,791,1703,-53.6%
#193,Land Rover Range Rover Evoque,11076,14583,-24.0%,1273,1370,-7.1%
#194,Land Rover LR4,10772,9031,19.3%,380,1315,-71.1%
#195,Lincoln Navigator,10421,11964,-12.9%,1110,1250,-11.2%
#196,Jaguar F-Pace,10016,—,—,1822,—,—
#197,Mazda MX-5 Miata,9465,8591,10.2%,733,706,3.8%
