Vehicle,2018 Year End,2017 Year End,% Change 2018
Dodge Grand Caravan,151927,125196,21.35
Dodge Journey,94096,89470,5.17
Dodge Viper,19,585,-96.75
Fiat 124 Spider,3515,4478,-21.51
Fiat 500,5370,12685,-57.67
Fiat 500L,1413,1664,-15.08
Fiat 500X,5223,7665,-31.86
Ford C-Max,6683,18390,-63.66
Ford E-Series,47936,53304,-10.07
Ford EcoSport,54348,0,0.0
Ford Edge,134122,142603,-5.95
Ford Escape,272228,308296,-11.7
Ford Expedition,54661,51883,5.35
Ford Explorer,261571,271131,-3.53
Ford F-Series,909330,896764,1.4
Ford Fiesta,51730,46249,11.85
Ford Flex,20308,22389,-9.29
Ford Focus,114045,158385,-28.0
Ford Fusion,173600,209623,-17.18
Ford GT,126,89,41.57
Ford Mustang,75842,81866,-7.36
Ford Taurus,40341,41236,-2.17
Ford Transit,137794,127360,8.19
Ford Transit Connect,31923,34473,-7.4
GMC Acadia,88622,111276,-20.36
GMC Canyon,33493,31306,6.99
GMC Savana,19685,29679,-33.67
GMC Sierra,219554,217943,0.74
GMC Terrain,114311,85441,33.79
GMC Yukon,74678,49183,51.84
Genesis G70,358,0,0.0
Genesis G80,7446,16214,-54.08
Genesis G90,2136,4398,-51.43
Honda Accord,291071,322655,-9.79
Honda CR-V,379021,378600,0.11
Honda CR-Z,30,0,0.0
Honda Civic,325760,377286,-13.66
Honda Clarity FCV,20174,2455,721.75
Honda Fit,35030,47647,-26.48
Honda HR-V,85494,93764,-8.82
Honda Insight,12513,3,417000.0
Honda Odyssey,106327,100307,6.0
Honda Pilot,159615,127279,25.41
Honda Ridgeline,30592,34749,-11.96
Hyundai Accent,29090,58955,-50.66
Hyundai Azera,629,3060,-79.44
Hyundai Elantra,200415,198210,1.11
Hyundai Ioniq,15076,11197,34.64
Hyundai Kona,47090,0,0.0
Hyundai Nexo,8,0,0.0
Hyundai Santa Fe,117038,133171,-12.11
Hyundai Sonata,105118,131803,-20.25
Hyundai Tuscon,153792,114735,34.04
Hyundai Veloster,10871,12658,-14.12
Infiniti Q50,34763,40739,-14.67
Infiniti Q60,8405,0,0.0
Infiniti Q70,4479,5772,-22.4
Infiniti QX30,8101,14093,-42.52
Infiniti QX50,25389,16857,50.61
Infiniti QX60,47370,40444,17.12
Infiniti QX70,954,6878,-86.13
Infiniti QX80,19207,17881,7.42
Jaguar E-Pace,5985,0,0.0
Jaguar F-Pace,12997,19238,-32.44
Jaguar F-Type,2268,4108,-44.79
Jaguar I-Pace,393,0,0.0
Jaguar XE,4704,9278,-49.3
Jaguar XF,2208,4541,-51.38
Jaguar XJ,1579,2721,-41.97
Jeep Cherokee,239437,169882,40.94
Jeep Compass,171167,83253,105.6
Jeep Grand Cherokee,224908,240696,-6.56
Jeep Patriot,621,40735,-98.48
Jeep Renegade,97062,103434,-6.16
Jeep Wrangler,240032,190522,25.99
Kia Cadenza,4507,7249,-37.83
Kia Forte,101890,117596,-13.36
Kia K900,354,455,-22.2
Kia Niro,28232,27237,3.65
Kia Optima,101603,107493,-5.48
Kia Rio,22975,16760,37.08
Kia Sedona,17928,23815,-24.72
Kia Sorento,107846,99684,8.19
Kia Soul,104709,115712,-9.51
Kia Sportage,82823,72824,13.73
Kia Stinger,16806,843,1893.59
Land Rover Discovery / LR4,9842,6398,53.83
Land Rover Discovery Sport,12035,14187,-15.17
Land Rover Range Rover,19030,16869,12.81
Land Rover Range Rover Evoque,9917,11979,-17.21
Land Rover Range Rover Sport,24282,19153,26.78
Land Rover Range Rover Velar,17037,5740,196.81
Lexus ES,48482,51398,-5.67
Lexus GS,6604,7773,-15.04
Lexus GX,26724,27190,-1.71
Lexus IS,22927,26482,-13.42
Lexus LC,1979,1731,14.33
Lexus LS,9301,4094,127.19
Lexus LX,4753,6004,-20.84
Lexus NX,62079,59341,4.61
Lexus RC,3358,7363,-54.39
Lexus RX,111636,108307,3.07
Lexus UX,453,0,0.0
Lincoln Continental,8758,12012,-27.09
Lincoln MKC,26241,27048,-2.98
Lincoln MKT,2324,3005,-22.66
Lincoln MKX/Nautilus,28573,31031,-7.92
Lincoln MKZ,19852,27387,-27.51
Lincoln Navigator,17839,10523,69.52
Mazda 3,64638,75018,-13.84
Mazda 6,30938,33402,-7.38
Mazda CX-3,16899,16355,3.33
Mazda CX-5,150622,127563,18.08
Mazda CX-9,28257,25828,9.4
Mazda MX-5 Miata,8971,11294,-20.57
Mercedes-Benz AMG GT,1525,1609,-5.22
Mercedes-Benz B-Class,135,744,-81.85
Mercedes-Benz C-Class,54829,77446,-29.2
Mercedes-Benz CLA-Class,26269,20669,27.09
Mercedes-Benz E / CLS-Class,46424,51312,-9.53
Mercedes-Benz G-Class,3593,4188,-14.21
Mercedes-Benz GL/GLS-Class,21973,32248,-31.86
Mercedes-Benz GLA-Class,24136,24104,0.13
Mercedes-Benz GLC/GLK-Class,69729,48643,43.35
Mercedes-Benz GLE-Class,46010,54595,-15.72
Mercedes-Benz Metris,7800,7579,2.92
Mercedes-Benz S-Class,14978,15888,-5.73
Mercedes-Benz SL-Class,2126,2940,-27.69
Mercedes-Benz SLC-Class,1993,2860,-30.31
Mercedes-Benz Sprinter,27564,27415,0.54
Mini Cooper,26119,32239,-18.98
Mini Countryman,17565,14863,18.18
Mitsubishi Eclipse Cross,9485,0,0.0
Mitsubishi Mirage,24316,22386,8.62
Mitsubishi Outlander,37952,35409,7.18
Mitsubishi Outlander PHEV,3866,0,0.0
Mitsubishi Outlander Sport,36867,33160,11.18
Nissan 370Z,3468,4614,-24.84
Nissan Altima,209146,254996,-17.98
Nissan Armada,32650,35667,-8.46
Nissan Frontier,79646,74360,7.11
Nissan GT-R,538,578,-6.92
Nissan Juke,731,10157,-92.8
Nissan Kicks,23312,0,0.0
Nissan Leaf,14715,11230,31.03
Nissan Maxima,42337,67627,-37.4
Nissan Murano,83547,76732,8.88
Nissan NV,16902,17858,-5.35
Nissan NV200,18628,18602,0.14
Nissan Pathfinder,67550,81065,-16.67
Nissan Rogue,412110,403465,2.14
Nissan Sentra,213046,218451,-2.47
Nissan Titan,50459,52924,-4.66
Nissan Versa,75809,106772,-29.0
Porsche 718,5276,5087,3.72
Porsche 911,9783,8970,9.06
Porsche Cayenne,11106,13203,-15.88
Porsche Macan,22954,21429,7.12
Porsche Panamera,8114,6731,20.55
Ram Cargo Van,0,0,0.0
Ram Pickup,536980,500723,7.24
Ram ProMaster,46600,40483,15.11
Ram ProMaster City,13788,15584,-11.52
Smart ForTwo,1276,3071,-58.45
Subaru Ascent,36211,0,0.0
Subaru BRZ,3834,4131,-7.19
Subaru CrossTrek,144384,110138,31.09
Subaru Forester,171613,177563,-3.35
Subaru Impreza,76400,86043,-11.21
Subaru Impreza WRX,28730,31358,-8.38
Subaru Legacy,40109,49837,-19.52
Subaru Outback,178854,188886,-5.31
Tesla Model 3,140317,1667,8317.34
Tesla Model S,29950,26800,11.75
Tesla Model X,27250,21600,26.16
Toyota 4Runner,139694,128296,8.88
Toyota 86 / FR-S,4133,6846,-39.63
Toyota Avalon,33580,32583,3.06
Toyota C-HR,49642,25755,92.75
Toyota Camry,343439,387081,-11.27
Toyota Corolla,303732,329196,-7.74
Toyota Highlander,244511,215775,13.32
Toyota Land Cruiser,3235,3100,4.35
Toyota Mirai,1689,1838,-8.11
Toyota Prius Family,87590,108661,-19.39
Toyota RAV4,427168,407594,4.8
Toyota Sequoia,11121,12156,-8.51
Toyota Sienna,87672,111489,-21.36
Toyota Tacoma,245659,198124,23.99
Toyota Tundra,118258,116285,1.7
Toyota Venza,9,12,-25.0
Toyota Yaris,27209,44380,-38.69
Volkswagen Atlas,59677,27119,120.06
Volkswagen Beetle,14411,15166,-4.98
Volkswagen CC,455,1355,-66.42
Volkswagen Golf,42271,68978,-38.72
Volkswagen Jetta,90794,115807,-21.6
Volkswagen Passat,41401,60722,-31.82
Volkswagen Tiguan,103022,46983,119.28
Volkswagen Touareg,2022,3545,-42.96
Volvo 60-Series,12176,16825,-27.63
Volvo 90-Series,9892,11090,-10.8
Volvo XC40,12420,0,0.0
Volvo XC60,32689,22516,45.18
Volvo XC90,31609,30996,1.98
