Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star,Sales,% Change,Change
Salt,2002 saab 9-5 sportwagon,1,saab 9-5,saab 9-5,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1,811.0,-0.21566731141199227,Negative
Takers,2008 saturn astra,1,saturn astra,saturn astra,60,"$57,744,720",Screen Gems,2010,0,2,2,60,1,25.0,-0.9960304858685297,Negative
Edge of Darkness,2009 saturn aura,1,saturn aura,saturn aura,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1,644.0,-0.9698995092311288,Negative
Edge of Darkness,2007 saturn outlook,1,saturn outlook,saturn outlook,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1,2649.0,-0.7980175371711781,Negative
Takers,2008 saturn vue hybrid,1,saturn vue,saturn vue,60,"$57,744,720",Screen Gems,2010,0,1,1,60,1,3201.0,-0.8874037074817968,Negative
Step Up 3D,2005 scion tc,1,scion tc,scion tc,78,"$42,400,223",Walt Disney Studios Motion Pictures,2010,0,1,1,78,1,15204.0,-0.15523947105233915,Negative
Dinner for Schmucks,2005 scion xb,1,scion xb,scion xb,44,"$73,026,337",DreamWorks,2010,0,2,2,44,1,20364.0,-0.20018852362436668,Negative
Grown Ups,2008 smart fortwo,2,smart fortwo,smart fortwo,13,"$162,001,186",Sony Pictures Entertainment (SPE),2010,0,5,5,13,2,5927.0,-0.5939020212401508,Negative
Easy A,2001 subaru forester,2,subaru forester,subaru forester,59,"$58,401,464",Screen Gems,2010,0,6,6,59,2,85080.0,0.0938403980406526,Positive
Due Date,2010 subaru impreza,4,subaru impreza,subaru impreza/wrx/wrx sti,26,"$98,935,039",Warner Bros.,2010,1,4,5,26,4,44395.0,-0.04754242560768917,Negative
The Town,1996 subaru legacy,2,subaru legacy,subaru legacy,32,"$92,155,037",Warner Bros.,2010,0,4,4,32,2,38725.0,0.25024213856783106,Positive
The Other Guys,2000 subaru outback sus,1,subaru outback,subaru outback,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,4,4,18,1,93148.0,0.6827082881711106,Positive
Step Up 3D,2008 subaru tribeca,1,subaru tribeca,subaru tribeca,78,"$42,400,223",Walt Disney Studios Motion Pictures,2010,0,1,1,78,1,2472.0,-0.5831365935919056,Negative
Get Him to the Greek,2006 suzuki forenza,1,suzuki forenza,suzuki forenza/reno,53,"$60,974,475",Universal Pictures,2010,0,1,1,53,1,12.0,-0.9968161315998939,Negative
Salt,2007 suzuki xl7,1,suzuki xl7,suzuki xl7,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1,313.0,-0.9282274707635864,Negative
Daybreakers,1993 toyota 4runner,2,toyota 4runner,toyota 4runner,100,"$30,101,577",Lionsgate,2010,0,4,4,100,2,46531.0,1.3649809402795425,Positive
The Other Guys,2005 toyota avalon,1,toyota avalon,toyota avalon,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,3,3,18,1,28390.0,0.054018934471876744,Positive
Iron Man 2,2004 toyota camry solara,1,toyota camry,toyota camry,4,"$312,433,331",Paramount Pictures,2010,0,24,24,4,1,327804.0,-0.08132861018317153,Negative
Green Zone,1987 toyota corolla,4,toyota corolla,toyota corolla/matrix,90,"$35,053,660",Universal Pictures,2010,1,17,18,90,4,266082.0,-0.10372077042785828,Negative
Crazy Heart,2007 toyota fj cruiser,1,toyota fj cruiser,toyota fj cruiser,84,"$38,983,106",Fox Searchlight Pictures,2010,0,1,1,84,1,14959.0,0.2527426513692321,Positive
It's Complicated,2008 toyota highlander hybrid,2,toyota highlander,toyota highlander,45,"$72,359,500",Universal Pictures,2010,0,6,6,45,2,92121.0,0.10831588825525157,Positive
Eat Pray Love,1971 toyota land cruiser,3,toyota land cruiser,toyota land cruiser,38,"$80,574,010",Sony Pictures Entertainment (SPE),2010,1,2,3,38,3,1807.0,-0.20079610791685096,Negative
The Other Guys,2005 toyota matrix,1,toyota matrix,toyota corolla/matrix,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1,266082.0,-0.10372077042785828,Negative
The Other Guys,2006 toyota prius ii,4,toyota prius,toyota prius,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,5,15,20,18,4,140928.0,0.008920261737374894,Positive
Get Him to the Greek,1996 toyota rav4,3,toyota rav4,toyota rav4,53,"$60,974,475",Universal Pictures,2010,1,9,10,53,3,170877.0,0.1461485833869929,Positive
Edge of Darkness,2005 toyota sequoia,1,toyota sequoia,toyota sequoia,76,"$43,313,890",Warner Bros.,2010,0,1,1,76,1,13848.0,-0.1549398913773113,Negative
The Bounty Hunter,2004 toyota sienna,2,toyota sienna,toyota sienna,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,0,11,11,47,2,98337.0,0.16978730491054433,Positive
Takers,2005 toyota tacoma,1,toyota tacoma,toyota tacoma,60,"$57,744,720",Screen Gems,2010,0,2,2,60,1,106198.0,-0.050311203319502076,Negative
Inception,2008 toyota tundra,2,toyota tundra,toyota tundra,6,"$292,558,188",Warner Bros.,2010,0,4,4,6,2,93309.0,0.17539837500787303,Positive
Little Fockers,2007 volkswagen eos [typ 1f],2,volkswagen eos,volkswagen eos,37,"$84,557,425",Universal Pictures,2010,0,3,3,37,2,6690.0,-0.07134925041643532,Negative
Green Zone,volkswagen golf iii [typ 1h],2,volkswagen golf,volkswagen golf/gti/r/sportwagen alltrack,90,"$35,053,660",Universal Pictures,2010,0,9,9,90,2,28286.0,0.7957084814626714,Positive
The Town,1999 volkswagen gti iv [typ 1j],1,volkswagen gti,volkswagen golf/gti/r/sportwagen alltrack,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1,28286.0,0.7957084814626714,Positive
Dear John,1996 volkswagen jetta a3 [typ 1h],3,volkswagen jetta,volkswagen jetta,40,"$80,014,842",Screen Gems,2010,1,15,16,40,3,123213.0,0.1363682477611665,Positive
Inception,1978 volkswagen passat b1 [typ 32],1,volkswagen passat,volkswagen passat,6,"$292,558,188",Warner Bros.,2010,0,10,10,6,1,12497.0,0.12201472436703178,Positive
Life as We Know It,2009 volkswagen routan [rt],3,volkswagen routan,volkswagen routan,64,"$52,727,343",Warner Bros.,2010,1,0,1,64,3,15961.0,0.08718752128601594,Positive
The Book of Eli,2007 volkswagen touareg 2 i [typ 7l],1,volkswagen touareg,volkswagen touareg,30,"$94,835,059",Warner Bros.,2010,0,1,1,30,1,4713.0,0.07308743169398907,Positive
She's Out of My League,2008 volvo c30,3,volvo c30,volvo c30,95,"$32,010,860",Paramount Pictures,2010,1,1,2,95,3,3906.0,-0.08438818565400844,Negative
Inception,volvo s40,1,volvo s40,volvo s40,6,"$292,558,188",Warner Bros.,2010,0,4,4,6,1,5623.0,-0.2932378079436903,Negative
The Other Guys,2001 volvo s60,1,volvo s60,volvo s60/v60,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,1,1,18,1,1437.0,-0.756234096692112,Negative
The Other Guys,1999 volvo s80,1,volvo s80,volvo s80,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1,7224.0,-0.1328772056175729,Negative
The Last Song,1997 volvo v70,3,volvo v70,volvo v70,51,"$62,950,384",Walt Disney Studios Motion Pictures,2010,1,7,8,51,3,895.0,-0.5071585903083701,Negative
The Twilight Saga: Eclipse,2010 volvo xc60,3,volvo xc60,volvo xc60,5,"$300,531,751",Summit Entertainment,2010,1,1,2,5,3,12030.0,0.2988555387605269,Positive
Cop Out,volvo xc70,2,volvo xc70,volvo xc70,73,"$44,875,481",Warner Bros.,2010,0,3,3,73,2,6626.0,0.1375107296137339,Positive
Grown Ups,2007 volvo xc90,2,volvo xc90,volvo xc90,13,"$162,001,186",Sony Pictures Entertainment (SPE),2010,0,1,1,13,2,10119.0,-0.05931021660314214,Negative
