Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Joker,Joker,2019,R,04 Oct 2019,122 min,"Crime, Drama, Thriller",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","USA, Canada",Won 2 Oscars. Another 112 wins & 234 nominations.,68%,59,8.4,"968,325",tt7286456,2020
The Rental,The Rental,2020,R,24 Jul 2020,88 min,"Drama, Horror, Mystery, Thriller",Dave Franco,"Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White",USA,5 nominations.,62/100,62,5.7,"19,709",tt10003008,2020
Once Upon a Time... In Hollywood,Once Upon a Time... In Hollywood,2019,R,26 Jul 2019,161 min,"Comedy, Drama",Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch","USA, UK, China",Won 2 Oscars. Another 134 wins & 372 nominations.,85%,83,7.6,"563,506",tt7131622,2020
2 Hearts,2 Hearts,2020,PG-13,16 Oct 2020,101 min,"Drama, Romance",Lance Hool,"Radha Mitchell, Jacob Elordi, Adan Canto, Tahmoh Penikett",USA,N/A,29/100,29,5.7,507,tt5616176,2020
Promising Young Woman,Promising Young Woman,2020,R,25 Dec 2020,113 min,"Crime, Drama, Thriller",Emerald Fennell,"Adam Brody, Ray Nicholson, Sam Richardson, Carey Mulligan","UK, USA",Nominated for 5 Oscars. Another 83 wins & 166 nominations.,72/100,72,7.5,"47,359",tt9620292,2020
True to the Game 2,True to the Game 2,2020,R,06 Nov 2020,94 min,Thriller,Jamal Hill,"Vivica A. Fox, Andra Fuller, Rotimi, Erica Peeples",USA,N/A,NaN,N/A,3.6,191,tt11237714,2020
Train to Busan Presents: Peninsula,Train to Busan Presents: Peninsula,2020,Not Rated,07 Aug 2020,116 min,"Action, Horror, Thriller",Sang-ho Yeon,"Dong-won Gang, Lee Jung-hyun, Re Lee, Hae-hyo Kwon",South Korea,6 wins & 11 nominations.,51/100,51,5.5,"21,166",tt8850222,2020
The Assistant,The Assistant,2019,R,31 Jan 2020,87 min,Drama,Kitty Green,"Julia Garner, Owen Holland, Jon Orsini, Rory Kulz",USA,5 wins & 21 nominations.,79/100,79,6.3,"15,935",tt9000224,2020
Love and Monsters,Love and Monsters,2020,PG-13,16 Oct 2020,109 min,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Michael Matthews,"Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing","Canada, USA",Nominated for 1 Oscar. Another 3 nominations.,59/100,59,7.0,"34,459",tt2222042,2020
Relic,Relic,2020,R,10 Jul 2020,89 min,"Drama, Horror, Mystery, Thriller",Natalie Erika James,"Robyn Nevin, Emily Mortimer, Bella Heathcote, Steve Rodgers","Australia, USA",5 wins & 21 nominations.,77/100,77,6.0,"17,059",tt9072352,2020
The Tax Collector,The Tax Collector,2020,Not Rated,07 Aug 2020,95 min,"Action, Crime, Drama, Thriller",David Ayer,"Bobby Soto, Cinthya Carmona, Shia LaBeouf, Jose Conejo Martin",USA,1 nomination.,22/100,22,4.8,"9,429",tt8461224,2020
The Last Shift,The Last Shift,2020,R,25 Sep 2020,90 min,"Comedy, Drama",Andrew Cohn,"Richard Jenkins, Holden Ochsenhirt, Da'Vine Joy Randolph, Ed O'Neill",USA,1 win & 1 nomination.,61/100,61,5.6,985,tt10661180,2020
Becky,Becky,2020,R,05 Jun 2020,93 min,"Action, Crime, Drama, Horror, Thriller","Jonathan Milott, Cary Murnion","Lulu Wilson, Kevin James, Joel McHale, Robert Maillet",USA,1 nomination.,54/100,54,5.8,"11,673",tt10314450,2020
The Song of Names,The Song of Names,2019,PG-13,25 Dec 2019,113 min,"Drama, Music, Mystery, War",François Girard,"Eddie Izzard, Gerran Howell, Stanley Townsend, Amy Sloan","Canada, Hungary, UK, Germany",6 wins & 9 nominations.,51/100,51,6.4,"2,736",tt1657517,2020
All My Life,All My Life,2008,Not Rated,22 Jun 2008,119 min,"Drama, Romance",Maher Sabry,"Seham Saneya Adelsalam, Mehammed Amadeus, Janaan Attia, Ayman","Egypt, France, Israel, Lebanon",N/A,NaN,N/A,5.8,"2,297",tt1334617,2020
Mafia Inc,Mafia Inc,2019,N/A,25 Aug 2020,143 min,"Crime, Drama",Daniel Grou,"Sergio Castellitto, Marc-André Grondin, Gilbert Sicotte, Mylène Mackay",Canada,2 wins & 8 nominations.,64/100,64,7.0,729,tt6980960,2020
Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,2019,R,29 Nov 2019,105 min,"Adventure, Comedy",Kevin Smith,"Joey Lauren Adams, Ben Affleck, Fred Armisen, Diedrich Bader",USA,1 nomination.,46/100,46,5.7,"20,143",tt6521876,2020
A Hidden Life,A Hidden Life,2019,PG-13,17 Jan 2020,174 min,"Biography, Drama, Romance, War",Terrence Malick,"August Diehl, Valerie Pachner, Maria Simon, Karin Neuhäuser","USA, UK, Germany",9 wins & 30 nominations.,81%,78,7.4,"19,103",tt5827916,2020
Cut Throat City,Cut Throat City,2020,R,21 Aug 2020,123 min,"Action, Crime, Drama, Thriller",RZA,"Shameik Moore, Demetrius Shipp Jr., Denzel Whitaker, Keean Johnson",USA,N/A,67/100,67,4.9,"1,584",tt3547306,2020
Sarileru Neekevvaru,Sarileru Neekevvaru,2020,Not Rated,10 Jan 2020,169 min,"Action, Comedy, Drama",Anil Ravipudi,"Mahesh Babu, Rashmika Mandanna, Vijayshanti, Prakash Raj",India,N/A,NaN,N/A,6.0,"5,364",tt10773090,2020
Vanguard,Vanguard,2020,PG-13,20 Nov 2020,107 min,"Action, Adventure, Comedy, Thriller",Stanley Tong,"Jackie Chan, Yang Yang, Lun Ai, Miya Muqi",China,1 win & 1 nomination.,34/100,34,4.7,"3,126",tt9695722,2020
Shortcut,Shortcut,2020,R,25 Sep 2020,80 min,"Adventure, Fantasy, Horror",Alessio Liguori,"Jack Kane, Zander Emlano, Zak Sutcliffe, Sophie Jane Oliver","Italy, Germany",N/A,26/100,26,3.9,617,tt8960138,2020
