Vehicle,2013 Year End,2012 Year End,% Change 2013
Mitsubishi Eclipse Spyder *,69,461,-85.0
Mitsubishi Endeavor,24,501,-95.2
Mitsubishi Galant,1441,13261,-89.1
Mitsubishi Lancer,19451,16426,18.4
Mitsubishi Mirage,2935,0,0.0
Mitsubishi Outlander,12287,7750,58.5
Mitsubishi Outlander Sport,24951,18091,37.9
Mitsubishi i MiEV,1029,588,75.0
Nissan 370Z,6561,7338,-10.6
Nissan Altima,320723,302934,5.9
Nissan Armada,14383,18072,-20.4
Nissan Cube,5461,7667,-28.8
Nissan Frontier,62837,55435,13.4
Nissan GT-R,1236,1188,4.0
Nissan Juke,38157,36358,4.9
Nissan Leaf,22610,9819,130.0
Nissan Maxima,53896,59349,-9.2
Nissan Murano,44684,51675,-13.5
Nissan Pathfinder,88632,42621,108.0
Nissan Quest,12874,18275,-29.6
Nissan Rogue,162751,142349,14.3
Nissan Sentra,129143,106395,21.4
Nissan Titan,15691,21576,-27.3
Nissan Versa,117352,113327,3.6
Nissan Xterra,17766,17222,3.2
Porsche 911,10442,8528,22.4
Porsche Boxster,4570,2894,57.9
Porsche Cayenne,18507,15545,19.1
Porsche Cayman,3383,462,632.0
Porsche Panamera,5421,7614,-28.8
Scion FR-S,18327,11417,60.5
Scion iQ,4046,8879,-54.4
Scion tC,19094,22666,-15.8
Scion xB,17849,19787,-9.8
Scion xD,9005,10756,-16.3
Smart Fortwo,9264,10009,-7.4
Subaru BRZ,8587,4144,107.0
Subaru Forester,123592,76347,61.9
Subaru Impreza,76825,81799,-6.1
Subaru Impreza *,58856,68175,-13.7
Subaru Impreza WRX *,17969,13624,31.9
Subaru Legacy,42291,47127,-10.3
Subaru Outback,118049,117553,0.4
Subaru Tribeca,1598,2075,-23.0
Subaru XV Crosstrek,53741,7396,627.0
Suzuki Equator,448,1966,-77.2
Suzuki Forenza/Reno,0,1,-100.0
Suzuki Grand Vitara,1037,4954,-79.1
Suzuki Kizashi,1602,5566,-71.2
Suzuki SX4,2859,12860,-77.8
Suzuki XL7,0,10,-100.0
Toyota 4Runner,51625,48755,5.9
Toyota Avalon,70990,29556,140.0
Toyota Camry,408484,404886,0.9
Toyota Corolla/Matrix,302180,290947,3.9
Toyota FJ Cruiser,13131,13656,-3.8
Toyota Highlander,127572,121055,5.4
Toyota Land Cruiser,3082,2895,6.5
Toyota Prius C ²,41979,35733,17.5
Toyota Prius Plug-In *,12088,12750,-5.2
Toyota Prius Sedan *,145172,147507,-1.6
Toyota Prius V ²,34989,40669,-14.0
Toyota Prius ²,157260,160257,-1.9
Toyota RAV4,218249,171877,27.0
Toyota Sequoia,13811,13151,5.0
Toyota Sienna,121117,114725,5.6
Toyota Tacoma,159485,141365,12.8
Toyota Tundra,112732,101621,10.9
Toyota Venza,35846,43095,-16.8
Toyota Yaris,21342,30590,-30.2
Volkswagen Beetle,43134,29174,47.9
Volkswagen Beetle Convertible *,18050,520,3371.0
Volkswagen Beetle Coupe *,25084,28654,-12.5
Volkswagen CC,15672,21646,-27.6
Volkswagen Eos,4178,6214,-32.8
Volkswagen GTI *,13310,16314,-18.4
Volkswagen Golf,30931,40885,-24.3
Volkswagen Golf *,16023,20677,-22.5
Volkswagen Golf R *,1598,3894,-59.0
Volkswagen Jetta,163793,170424,-3.9
Volkswagen Jetta Sedan *,141259,146478,-3.6
Volkswagen Jetta Sportwagen *,22534,23946,-5.9
Volkswagen Passat,109652,117023,-6.3
Volkswagen Routan,2109,10483,-79.9
Volkswagen Tiguan,30002,31731,-5.4
Volkswagen Touareg,8233,10553,-22.0
Volvo C30,1361,2827,-51.9
Volvo C70,3234,4441,-27.2
Volvo S40,0,51,-100.0
Volvo S60,23210,23356,-0.6
Volvo S80,1935,3277,-41.0
Volvo XC60,19766,19139,3.3
Volvo XC70,4882,5513,-11.4
Volvo XC90,6845,9513,-28.0
