Model,US,US LY,US vs LY,YTD,YTD LY,YTD vs LY
Maserati Ghibli,569,746,-23.70,5531,7100,-22.10
Maserati Levante,565,607,-6.90,5448,1917,184.20
BMW X4,538,399,34.80,5198,4989,4.20
Nissan Quest,1,791,-99.90,4950,11115,-55.50
Audi A7,453,811,-44.10,4810,6558,-26.70
Lexus CT,9,968,-99.10,4690,8903,-47.30
Nissan 370Z,304,368,-17.40,4614,5913,-22.00
Jaguar XF,345,486,-29.00,4541,6665,-31.90
Fiat 124 Spider,287,250,14.80,4478,2475,80.90
Genesis G90,406,379,7.10,4398,782,462.40
Buick Verano,53,1038,-94.90,4277,30277,-85.90
Mercedes-Benz G-Class,471,453,4.00,4188,3950,6.00
Subaru BRZ,297,214,38.80,4131,4141,-0.20
Jaguar F-Type,391,388,0.80,4108,4069,1.00
Lexus LS,306,609,-49.80,4094,5514,-25.80
Chevrolet SS,42,94,-55.30,4055,3013,34.60
Volkswagen Touareg,484,396,22.20,3545,4223,-16.10
BMW 6-Series,369,348,6.00,3355,3947,-15.00
Audi A8,266,501,-46.90,3127,4149,-24.60
Toyota Land Cruiser,390,456,-14.50,3100,3705,-16.30
Smart Fortwo,166,1186,-86.00,3071,6211,-50.60
Hyundai Azera,141,384,-63.30,3060,4942,-38.10
Lincoln MKT,186,649,-71.30,3005,4028,-25.40
Mercedes-Benz SL-Class,277,304,-8.90,2940,3722,-21.00
Audi A3 e-tron,270,589,-54.20,2877,4280,-32.80
Mercedes-Benz SLC-Class,260,330,-21.20,2860,3397,-15.80
Porsche Cayman,185,224,-17.40,2800,3590,-22.00
Jaguar XJ,263,436,-39.70,2721,3834,-29.00
Alfa Romeo Stelvio,997,0,0.00,2721,0,0.00
Lexus LC,290,0,0.00,2487,0,0.00
Honda Clarity FCV,1425,8,0.00,2455,8,0.00
Tesla Model 3,900,0,0.00,2320,0,0.00
Audi TT,237,252,-6.00,2294,3044,-24.60
Porsche Boxster,116,149,-22.10,2287,2670,-14.30
Toyota Mirai,296,116,155.20,1838,1034,77.80
Maserati Quattroporte,174,193,-9.80,1700,2268,-25.00
Fiat 500L,111,102,8.80,1664,3118,-46.60
Mercedes-AMG GT,183,99,84.80,1608,1227,31.10
Volkswagen CC,54,374,-85.60,1355,3237,-58.10
Acura RLX,186,192,-3.10,1237,1478,-16.30
Hyundai Genesis,0,426,-100.00,1152,23230,-95.00
Bentley Bentayga,149,241,-38.20,1152,884,30.30
Maserati GranTurismo,119,148,-19.60,1018,1249,-18.50
Bentley Continental GT,101,123,-17.90,898,1144,-21.50
Kia Stinger,826,0,0.00,843,0,0.00
Audi R8,56,82,-31.70,772,736,4.90
Mercedes-Benz B-Class,111,54,105.60,744,632,17.70
Honda CR-Z,19,160,-88.10,705,2338,-69.80
Chevrolet Caprice PPV,18,124,-85.50,693,1021,-32.10
Dodge Viper,9,59,-84.70,585,630,-7.10
Acura NSX,56,68,-17.60,581,269,116.00
Nissan GT-R,36,46,-21.70,578,698,-17.20
Chrysler Town & Country,6,266,-97.70,577,59071,-99.00
BMW Z4,0,75,-100.00,502,1187,-57.70
BMW i8,80,133,-39.80,488,1594,-69.40
Kia K900,35,80,-56.30,455,834,-45.40
Alfa Romeo 4C,26,23,13.00,407,480,-15.20
Bentley Flying Spur,39,31,25.80,257,400,-35.80
